Day,Time,Energy
2017-01-01,0:00:00,4364.57750
2017-01-01,1:00:00,4442.31194
2017-01-01,2:00:00,240.68389
2017-01-01,3:00:00,238.54750
2017-01-01,4:00:00,237.24750
2017-01-01,5:00:00,907.89583
2017-01-01,6:00:00,2175.31583
2017-01-01,7:00:00,5990.78861
2017-01-01,8:00:00,5934.42500
2017-01-01,9:00:00,5162.30500
2017-01-01,10:00:00,1822.13778
2017-01-01,11:00:00,4452.68000
2017-01-01,12:00:00,6005.27889
2017-01-01,13:00:00,4804.21778
2017-01-01,14:00:00,2444.04472
2017-01-01,15:00:00,1501.65694
2017-01-01,16:00:00,2490.52972
2017-01-01,17:00:00,3201.80444
2017-01-01,18:00:00,2498.40222
2017-01-01,19:00:00,2415.03056
2017-01-01,20:00:00,3166.16750
2017-01-01,21:00:00,2951.30417
2017-01-01,22:00:00,3899.30667
2017-01-01,23:00:00,2703.39111
2017-01-02,0:00:00,159.89139
2017-01-02,1:00:00,1259.11056
2017-01-02,2:00:00,3310.12222
2017-01-02,3:00:00,2752.40250
2017-01-02,4:00:00,2876.42722
2017-01-02,5:00:00,4883.10806
2017-01-02,6:00:00,5111.87667
2017-01-02,7:00:00,5727.75333
2017-01-02,8:00:00,5651.09556
2017-01-02,9:00:00,5939.50417
2017-01-02,10:00:00,5861.24056
2017-01-02,11:00:00,5117.28389
2017-01-02,12:00:00,5046.57139
2017-01-02,13:00:00,5295.72694
2017-01-02,14:00:00,5158.69306
2017-01-02,15:00:00,4574.45194
2017-01-02,16:00:00,4060.74861
2017-01-02,17:00:00,3812.37056
2017-01-02,18:00:00,4214.36861
2017-01-02,19:00:00,3179.39361
2017-01-02,20:00:00,4234.99722
2017-01-02,21:00:00,3741.68528
2017-01-02,22:00:00,3662.04889
2017-01-02,23:00:00,131.73444
2017-01-03,0:00:00,794.99556
2017-01-03,1:00:00,1670.85861
2017-01-03,2:00:00,2770.84889
2017-01-03,3:00:00,2499.93806
2017-01-03,4:00:00,3184.54806
2017-01-03,5:00:00,3075.12833
2017-01-03,6:00:00,6242.47389
2017-01-03,7:00:00,6208.80056
2017-01-03,8:00:00,6212.93167
2017-01-03,9:00:00,6198.12917
2017-01-03,10:00:00,4038.81306
2017-01-03,11:00:00,3783.41278
2017-01-03,12:00:00,9414.94306
2017-01-03,15:00:00,6629.62583
2017-01-03,16:00:00,6754.98722
2017-01-03,17:00:00,4441.82389
2017-01-03,18:00:00,3618.97611
2017-01-03,19:00:00,2956.24556
2017-01-03,20:00:00,2651.82306
2017-01-03,21:00:00,2114.01639
2017-01-03,22:00:00,2987.91583
2017-01-03,23:00:00,1232.33056
2017-01-04,0:00:00,169.43111
2017-01-04,1:00:00,167.48833
2017-01-04,2:00:00,167.33861
2017-01-04,3:00:00,167.56556
2017-01-04,4:00:00,167.90389
2017-01-04,5:00:00,1657.31583
2017-01-04,6:00:00,1926.83722
2017-01-04,7:00:00,6399.95222
2017-01-04,8:00:00,46479.55833
2017-01-05,0:00:00,167.01667
2017-01-05,1:00:00,167.38528
2017-01-05,2:00:00,168.15056
2017-01-05,3:00:00,169.33889
2017-01-05,4:00:00,1947.38778
2017-01-05,5:00:00,2224.46028
2017-01-05,6:00:00,4090.36778
2017-01-05,7:00:00,6145.93472
2017-01-05,8:00:00,6007.05417
2017-01-05,9:00:00,5614.55861
2017-01-05,10:00:00,4571.53722
2017-01-05,11:00:00,262.53889
2017-01-05,12:00:00,262.03833
2017-01-05,13:00:00,965.61722
2017-01-05,14:00:00,933.01167
2017-01-05,15:00:00,202.87306
2017-01-05,16:00:00,2754.44750
2017-01-05,17:00:00,3972.60694
2017-01-05,18:00:00,4758.96139
2017-01-05,19:00:00,4767.46806
2017-01-05,20:00:00,4989.39583
2017-01-05,21:00:00,3237.71361
2017-01-05,22:00:00,169.87472
2017-01-05,23:00:00,170.44583
2017-01-06,0:00:00,2072.14111
2017-01-06,1:00:00,3071.44444
2017-01-06,2:00:00,3569.58972
2017-01-06,3:00:00,3986.73639
2017-01-06,4:00:00,4517.51361
2017-01-06,5:00:00,4188.31972
2017-01-06,6:00:00,5434.69972
2017-01-06,7:00:00,5554.53750
2017-01-06,8:00:00,6374.91500
2017-01-06,9:00:00,6195.16333
2017-01-06,10:00:00,6460.17028
2017-01-06,11:00:00,5019.29889
2017-01-06,12:00:00,1244.42306
2017-01-06,13:00:00,258.42389
2017-01-06,14:00:00,1191.02417
2017-01-06,15:00:00,2600.86722
2017-01-06,16:00:00,4083.17139
2017-01-06,17:00:00,4077.97833
2017-01-06,18:00:00,3619.80389
2017-01-06,19:00:00,3399.38250
2017-01-06,20:00:00,4148.27583
2017-01-06,21:00:00,3485.55833
2017-01-06,22:00:00,4152.83028
2017-01-06,23:00:00,1678.11056
2017-01-07,0:00:00,164.82361
2017-01-07,1:00:00,166.28833
2017-01-07,2:00:00,805.52139
2017-01-07,3:00:00,2644.21139
2017-01-07,4:00:00,2094.35333
2017-01-07,5:00:00,3059.10972
2017-01-07,6:00:00,4114.26694
2017-01-07,7:00:00,6536.07861
2017-01-07,8:00:00,6692.66389
2017-01-07,9:00:00,5735.57389
2017-01-07,10:00:00,4742.20639
2017-01-07,11:00:00,4205.63583
2017-01-07,12:00:00,3765.41444
2017-01-07,13:00:00,3625.50833
2017-01-07,14:00:00,3700.18944
2017-01-07,15:00:00,3723.38722
2017-01-07,16:00:00,3129.58611
2017-01-07,17:00:00,2959.45278
2017-01-07,18:00:00,2683.24306
2017-01-07,19:00:00,2622.25333
2017-01-07,20:00:00,2642.35778
2017-01-07,21:00:00,3211.38306
2017-01-07,22:00:00,3354.16139
2017-01-07,23:00:00,923.77056
2017-01-08,0:00:00,165.86944
2017-01-08,1:00:00,169.18833
2017-01-08,2:00:00,2086.66722
2017-01-08,3:00:00,1481.66833
2017-01-08,4:00:00,2008.03861
2017-01-08,5:00:00,2366.84167
2017-01-08,6:00:00,4633.09583
2017-01-08,7:00:00,5847.22778
2017-01-08,8:00:00,4069.53528
2017-01-08,9:00:00,3010.25722
2017-01-08,10:00:00,344.65611
2017-01-08,11:00:00,1747.07778
2017-01-08,12:00:00,98.39389
2017-01-08,13:00:00,96.67944
2017-01-08,14:00:00,97.47889
2017-01-08,15:00:00,98.29639
2017-01-08,16:00:00,96.49222
2017-01-08,17:00:00,97.66861
2017-01-08,18:00:00,103.25528
2017-01-08,19:00:00,134.76111
2017-01-08,20:00:00,133.90111
2017-01-08,21:00:00,135.02333
2017-01-08,22:00:00,135.61667
2017-01-08,23:00:00,150.19444
2017-01-09,0:00:00,175.18361
2017-01-09,1:00:00,134.60556
2017-01-09,2:00:00,135.04944
2017-01-09,3:00:00,132.36667
2017-01-09,4:00:00,131.43306
2017-01-09,5:00:00,132.39278
2017-01-09,6:00:00,1651.12861
2017-01-09,7:00:00,5593.66806
2017-01-09,8:00:00,54.81556
2017-01-09,9:00:00,3720.77444
2017-01-09,10:00:00,6893.27861
2017-01-09,11:00:00,7046.84972
2017-01-09,12:00:00,4331.28972
2017-01-09,13:00:00,3512.80500
2017-01-09,14:00:00,3565.78222
2017-01-09,15:00:00,3429.92833
2017-01-09,16:00:00,3008.66722
2017-01-09,17:00:00,3041.09778
2017-01-09,18:00:00,3553.78139
2017-01-09,19:00:00,4334.19222
2017-01-09,20:00:00,4207.29861
2017-01-09,21:00:00,4153.47472
2017-01-09,22:00:00,3962.97278
2017-01-09,23:00:00,2954.35861
2017-01-10,0:00:00,159.90083
2017-01-10,1:00:00,158.70972
2017-01-10,2:00:00,160.08028
2017-01-10,3:00:00,154.79472
2017-01-10,4:00:00,1386.77833
2017-01-10,5:00:00,7021.23861
2017-01-10,6:00:00,6219.86694
2017-01-10,7:00:00,4087.97417
2017-01-10,8:00:00,3867.44056
2017-01-10,9:00:00,3949.79778
2017-01-10,10:00:00,3386.68083
2017-01-10,11:00:00,2922.78111
2017-01-10,12:00:00,63.00917
2017-01-10,13:00:00,2226.29556
2017-01-10,14:00:00,708.15139
2017-01-10,15:00:00,2497.18722
2017-01-10,16:00:00,2795.71806
2017-01-10,17:00:00,4463.20694
2017-01-10,18:00:00,3125.41194
2017-01-10,19:00:00,2558.25333
2017-01-10,20:00:00,3330.13306
2017-01-10,21:00:00,3530.41083
2017-01-10,22:00:00,2012.00778
2017-01-10,23:00:00,127.26167
2017-01-11,0:00:00,129.18194
2017-01-11,1:00:00,128.85250
2017-01-11,2:00:00,130.60028
2017-01-11,3:00:00,131.38306
2017-01-11,4:00:00,1036.65361
2017-01-11,5:00:00,2001.61778
2017-01-11,6:00:00,4303.37667
2017-01-11,7:00:00,6552.86528
2017-01-11,8:00:00,6655.61417
2017-01-11,9:00:00,6191.78361
2017-01-11,10:00:00,3851.89611
2017-01-11,11:00:00,3501.12222
2017-01-11,12:00:00,3927.43139
2017-01-11,13:00:00,3638.16111
2017-01-11,14:00:00,2744.38028
2017-01-11,15:00:00,2608.27333
2017-01-11,16:00:00,3300.27722
2017-01-11,17:00:00,3538.03750
2017-01-11,18:00:00,3572.01722
2017-01-11,19:00:00,3233.17472
2017-01-11,20:00:00,3003.13444
2017-01-11,21:00:00,3732.87972
2017-01-11,22:00:00,3906.57000
2017-01-11,23:00:00,3856.98417
2017-01-12,0:00:00,3264.93667
2017-01-12,1:00:00,2338.69667
2017-01-12,2:00:00,128.15694
2017-01-12,3:00:00,128.50639
2017-01-12,4:00:00,370.95167
2017-01-12,5:00:00,1751.27083
2017-01-12,6:00:00,5569.26944
2017-01-12,7:00:00,2855.91389
2017-01-12,9:00:00,101.89556
2017-01-12,10:00:00,185.28083
2017-01-12,11:00:00,186.09222
2017-01-12,12:00:00,108.67056
2017-01-12,13:00:00,95.51361
2017-01-12,14:00:00,137.66917
2017-01-12,15:00:00,93.82972
2017-01-12,16:00:00,3066.28806
2017-01-12,17:00:00,5962.01083
2017-01-12,18:00:00,5863.44278
2017-01-12,19:00:00,5428.35389
2017-01-12,20:00:00,5806.50139
2017-01-12,21:00:00,5105.16361
2017-01-12,22:00:00,5681.17139
2017-01-12,23:00:00,5646.74722
2017-01-13,0:00:00,2987.29472
2017-01-13,1:00:00,2900.76611
2017-01-13,2:00:00,3743.03194
2017-01-13,3:00:00,3482.52389
2017-01-13,4:00:00,3508.57167
2017-01-13,5:00:00,4008.70306
2017-01-13,6:00:00,5393.58000
2017-01-13,7:00:00,5792.65417
2017-01-13,8:00:00,5291.59833
2017-01-13,9:00:00,5905.11583
2017-01-13,10:00:00,5010.71306
2017-01-13,11:00:00,1277.03000
2017-01-13,12:00:00,189.06972
2017-01-13,13:00:00,186.75028
2017-01-13,14:00:00,313.50611
2017-01-13,15:00:00,1750.71528
2017-01-13,16:00:00,1789.94861
2017-01-13,17:00:00,3046.88611
2017-01-13,18:00:00,3606.35500
2017-01-13,19:00:00,3862.05361
2017-01-13,20:00:00,3779.18833
2017-01-13,21:00:00,3851.26778
2017-01-13,22:00:00,3871.38389
